Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Giosuè Carducci | Carducci, Giosuè  | 2070319 | -1 | Non pervenuta
Thomas Carlyle | Carlyle, Thomas  | 530010 | 1800 | scozzese
Carmina Burana | Carmina Burana  | 228625 | -1 | Non pervenuta
Emanuel Carnevali | Carnevali, Emanuel  | 2108689 | 1900 | italiano
Annibale Caro | Caro, Annibale  | 279637 | 1500 | italiano
Guido Carocci | Carocci, Guido  | 2085520 | 1800 | italiano
Edward Carpenter | Carpenter, Edward  | 229745 | 1800 | inglese
Giacomo Casanova | Casanova, Giacomo  | 15788 | 1700 | italiano
Giovanni Domenico Cassini | Cassini, Giovanni Domenico  | 19593 | -1 | Non pervenuta
Benedetto Castelli | Castelli, Benedetto  | 618564 | 1600 | italiano
David Castelli | Castelli, David  | 2974984 | 1800 | italiano
Enrico Castelnuovo | Castelnuovo, Enrico  | 2330284 | -1 | italiano
Giovanni Battista Casti | Casti, Giovanni Battista  | 750864 | 1700 | italiano
Baldassarre Castiglione | Castiglione, Baldassarre  | 282634 | 1500 | italiano
Ettore Castiglioni | Castiglioni, Ettore  | 2035708 | 1900 | italiano
Alfredo Catalani | Catalani, Alfredo  | 1786526 | 1800 | italiano
Willa Cather | Cather, Willa  | 131658 | 1900 | statunitense
Carlo Cattaneo | Cattaneo, Carlo  | 107875 | 1800 | italiano
Giuseppe Cava | Cava, Giuseppe  | 1195542 | 1900 | italiano
Guido Cavalcanti | Cavalcanti, Guido  | 712354 | 1200 | italiano
Felice Cavallotti | Cavallotti, Felice  | 306003 | 1800 | italiano
Ciro Caversazzi | Caversazzi, Ciro  | 3446617 | 1800 | italiano
Enrico Caviglia | Caviglia, Enrico  | 571200 | 1800 | italiano
Benvenuto Cellini | Cellini, Benvenuto  | 709231 | 1500 | italiano
Giovanni Celoria | Celoria, Giovanni  | 23559 | 1900 | italiano
Giovanni Cena | Cena, Giovanni  | 1571530 | 1800 | italiano
Cennino Cennini | Cennini, Cennino  | 1844096 | 1300 | italiano
Melchiorre Cesarotti | Cesarotti, Melchiorre  | 499858 | 1700 | italiano
Federico Cesi | Cesi, Federico  | 2023314 | -1 | Non pervenuta
Emmanuel Chabrier | Chabrier, Emmanuel  | 820716 | 1800 | francese
Chanson de Roland | Chanson de Roland  | 1987946 | -1 | Non pervenuta
Ruperto Chapì | Chapì, Ruperto  | 4656215 | -1 | Non pervenuta
Marc-Antoine Charpentier | Charpentier, Marc-Antoine  | 88270 | 1600 | francese
Gaetano Carlo Chelli | Chelli, Gaetano Carlo  | 3684011 | 1800 | italiano
Luigi Cherubini | Cherubini, Luigi  | 200491 | 1700 | italiano
Gilbert Keith Chesterton | Chesterton, Gilbert Keith  | 280263 | 1900 | inglese
Gabriello Chiabrera | Chiabrera, Gabriello  | 476783 | 1600 | italiano
Luigi Chiarelli | Chiarelli, Luigi  | 777146 | 1900 | italiano
Giuseppe Chiarini | Chiarini, Giuseppe  | 1237285 | 1800 | italiano
Pietro Chiesa | Chiesa, Pietro  | 5455739 | 1800 | italiano
Agostino Chigi | Chigi, Agostino  | 793793 | -1 | italiano
Fryderyk Franciszek Chopin | Chopin, Fryderyk Franciszek  | 52933 | -1 | Non pervenuta
Sigurd Christiansen | Christiansen, Sigurd  | 1678287 | 1800 | norvegese
Emanuele Ciaceri | Ciaceri, Emanuele  | 3895347 | 1900 | italiano
Giacomo Ciamician | Ciamician, Giacomo  | 3017159 | -1 | Non pervenuta
Domenico Ciampoli | Ciampoli, Domenico  | 2291973 | 1800 | italiano
Galeazzo Ciano | Ciano, Galeazzo  | 21581 | 1900 | italiano
Marcus Tullius Cicero | Cicero, Marcus Tullius  | 6452816 | -1 | Non pervenuta
Giorgio Cicogna | Cicogna, Giorgio  | 2018041 | 1900 | italiano
Antonio Cifra | Cifra, Antonio  | 1613035 | 1500 | italiano
Domenico Cimarosa | Cimarosa, Domenico  | 69718 | 1700 | italiano
Delfino Cinelli | Cinelli, Delfino  | 4346484 | 1900 | italiano
Amilcare Cipriani | Cipriani, Amilcare  | 208477 | -1 | italiano
Giovanni Cittadella | Cittadella, Giovanni  | 1665192 | 1800 | italiano
Tommaso Claps | Claps, Tommaso  | 2357156 | 1800 | italiano
Muzio Clementi | Clementi, Muzio  | 220102 | 1700 | italiano
Club alpino italiano | Club alpino italiano  | 4510660 | -1 | Non pervenuta
Igino Cocchi | Cocchi, Igino  | 3544701 | 1800 | italiano
Mariannina Coffa Caruso | Coffa Caruso, Mariannina  | 6848659 | -1 | Non pervenuta
Napoleone Colajanni | Colajanni, Napoleone  | 608523 | -1 | Non pervenuta
Samuel Taylor Coleridge | Coleridge, Samuel Taylor  | 213822 | 1700 | inglese
Pandolfo Collenuccio | Collenuccio, Pandolfo  | 1329532 | 1400 | italiano
Pietro Colletta | Colletta, Pietro  | 19250 | 1800 | italiano
Fernando Colombo | Colombo, Fernando  | 1150380 | 1400 | spagnolo
Francesco Colonna | Colonna, Francesco  | 103776 | -1 | Non pervenuta
Vittoria Colonna | Colonna, Vittoria  | 137929 | 1500 | italiana
Eugenio Colorni | Colorni, Eugenio  | 312832 | 1900 | italiano
Dino Compagni | Compagni, Dino  | 118545 | 1300 | italiano
Domenico Comparetti | Comparetti, Domenico  | 1480417 | 1800 | italiano
Giuseppe Conti | Conti, Giuseppe  | 2998071 | -1 | Non pervenuta
Giovanni Coperario | Coperario, Giovanni  | 3416554 | -1 | Non pervenuta
Corano | Corano  | 2850528 | -1 | Non pervenuta
Orso Mario Corbino | Corbino, Orso Mario  | 339912 | 1800 | italiano
Arcangelo Corelli | Corelli, Arcangelo  | 98069 | 1600 | italiano
Luigi Cornaro | Cornaro, Luigi  | 3782172 | -1 | Non pervenuta
Peter Cornelius | Cornelius, Peter  | 295658 | -1 | Non pervenuta
Giovanni Maria Cornoldi | Cornoldi, Giovanni Maria  | 1905914 | 1800 | italiano
Enrico Corradini | Corradini, Enrico  | 266294 | 1900 | italiano
Pietro Cossa | Cossa, Pietro  | 2909780 | 1800 | italiano
Andrea Costa | Costa, Andrea  | 708054 | 1800 | italiano
Paolo Costa | Costa, Paolo  | 901741 | -1 | Non pervenuta
Francis Marion Crawford | Crawford, Francis Marion  | 28558 | 1800 | statunitense
Francesco Crispi | Crispi, Francesco  | 47263 | 1800 | italiano
Giulio Cesare Croce | Croce, Giulio Cesare  | 105974 | 1500 | italiano
Cronica | Cronica  | 652956 | -1 | Non pervenuta
Vincenzo Cuoco | Cuoco, Vincenzo  | 201051 | 1800 | italiano
Eugenio Curiel | Curiel, Eugenio  | 1977335 | 1900 | italiano
Antonio Curti | Curti, Antonio  | 3449599 | 1800 | italiano
Francesco Cusani | Cusani, Francesco  | 6601205 | 1900 | italiano
Pëtr Il'ič Čajkovskij | Čajkovskij, Pëtr Il'ič  | 104818 | -1 | russo
Nikolaj Gavrilovič Černyševskij | Černyševskij, Nikolaj Gavrilovič  | 282035 | -1 | Non pervenuta
Pelagio D'Afro | D'Afro, Pelagio  | 2423589 | -1 | Non pervenuta
Lucio D'Ambra | D'Ambra, Lucio  | 2951440 | 1900 | italiano
Alessandro D'Ancona | D'Ancona, Alessandro  | 403397 | 1800 | italiano
Virgilia D'Andrea | D'Andrea, Virgilia  | 2533356 | -1 | italiana
Gabriele D'Annunzio | D'Annunzio, Gabriele  | 2404658 | -1 | Non pervenuta
Giuseppe D'Emilio | D'Emilio, Giuseppe  | 6887244 | -1 | Non pervenuta
Jean-François Dandrieu | Dandrieu, Jean-François  | 3136805 | -1 | francese
Vincenzo Danti | Danti, Vincenzo  | 894078 | 1500 | italiano
Lorenzo Da Ponte | Da Ponte, Lorenzo  | 72703 | 1700 | italiano
Luigi Da Porto | Da Porto, Luigi  | 1144196 | -1 | Non pervenuta
Charles Darwin | Darwin, Charles  | 2433891 | 1800 | britannico
Erasmus Darwin | Darwin, Erasmus  | 294544 | -1 | britannico
Alphonse Daudet | Daudet, Alphonse  | 747829 | 1800 | francese
Edmondo De Amicis | De Amicis, Edmondo  | 1721 | 1800 | italiano
Augusto De Angelis | De Angelis, Augusto  | 1705497 | 1900 | italiano
Abele De Blasio | De Blasio, Abele  | 1687461 | 1800 | italiano
Filippo De Boni | De Boni, Filippo  | 3495611 | 1800 | italiano
Lauro De Bosis | De Bosis, Lauro  | 233613 | 1900 | italiano
Claude Debussy | Debussy, Claude  | 80151 | -1 | Non pervenuta
Raffaele De Cesare | De Cesare, Raffaele  | 6663098 | -1 | Non pervenuta
Filippo De Filippi | De Filippi, Filippo  | 1704170 | -1 | Non pervenuta
Stefano De Franchi | De Franchi, Stefano  | 2427966 | -1 | Non pervenuta
Giovanni De Gamerra | De Gamerra, Giovanni  | 1150337 | 1700 | italiano
Achille De Giovanni | De Giovanni, Achille  | 862157 | -1 | italiano
Angelo De Gubernatis | De Gubernatis, Angelo  | 467179 | 1800 | italiano
Grazia Deledda | Deledda, Grazia  | 1341459 | -1 | Non pervenuta
Frederick Delius | Delius, Frederick  | 240374 | -1 | inglese
