Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
giovanni Giraud | Giraud, giovanni | 1328156 | 1800 | italiano | 1776 | 1834 | M | M
Jean Giraudoux | Giraudoux, Jean | 219943 | 1900 | francese | 1882 | 1944 | M | M
Victor Gischler | Gischler, Victor | 3313391 | 2000 | statunitense |  |  | M | M
Giovanni Giudici | Giudici, Giovanni | 91088 | 1900 | italiano | 1924 | 2011 | M | M
Gino Giugni | Giugni, Gino | 254338 | 1900 | italiano | 1927 | 2009 | M | M
Paolo Giuranna | Giuranna, Paolo | 3464791 | 1900 | italiano | 1935 |  | M | M
Flavio Giuseppe | Giuseppe, Flavio | 49422 | 0 | romano | [[37]]-[[38]] circa | [[100]] circa | M | M
Luigi Giussani | Giussani, Luigi | 1851778 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giuseppe Giusti | Giusti, Giuseppe | 226755 | 1800 | italiano | 1809 | 1850 | M | M
Michele Giuttari | Giuttari, Michele | 2707330 | 2000 | italiano | 1950 |  | M | M
michele Giuttari | Giuttari, michele | 2707330 | 2000 | italiano | 1950 |  | M | M
sergio Givone | Givone, sergio | 831034 | 1900 | italiano | 1944 |  | M | M
Daniel Glattauer | Glattauer, Daniel | 3980486 | 1900 | austriaco | 1960 |  | M | M
Friedrich Glauser | Glauser, Friedrich | 563619 | 1900 | svizzero | 1896 | 1938 | M | M
Thomas Glavinic | Glavinic, Thomas | 2394332 | -1 | austriaco | 1972 |  | M | M
Colleen Gleason | Gleason, Colleen | 3972176 | XXI | statunitense |  |  | F | F
vittorio Gleijeses | Gleijeses, vittorio | 1768952 | 1900 | italiano | 1919 | 2009 | M | M
Abbi Glines | Glines, Abbi | 5960717 | -1 | statunitense | 1977 |  | F | F
Donald Glut | Glut, Donald | 5894162 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alessandro Gnocchi | Gnocchi, Alessandro | 4613097 | 1900 | italiano | 1959 |  | M | M
Don Gnocchi | Gnocchi, Don | 2033988 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Elisabetta Gnone | Gnone, Elisabetta | 1696191 | 2000 | italiana | 1965 |  | F | F
Piero Gobetti | Gobetti, Piero | 56868 | 1900 | italiano | 1901 | 1926 | M | M
Anna Godbersen | Godbersen, Anna | 2254886 | XXI | statunitense | 1980 |  | F | F
Rumer Godden | Godden, Rumer | 1869002 | 1900 | inglese | 1907 | 1998 | F | F
Tom Godwin | Godwin, Tom | 1611536 | 1900 | statunitense | 1915 | 1980 | M | M
Johann Goethe | Goethe, Johann | 1420084 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Erving Goffman | Goffman, Erving | 213207 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Nikolaj Gogol | Gogol, Nikolaj | 370425 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
arthur Golden | Golden, arthur | 1427006 | 1900 | statunitense | 1956 |  | M | M
Christie Golden | Golden, Christie | 3399215 | 1900 | statunitense | 1963 |  | F | F
Daniel Goldhagen | Goldhagen, Daniel | 2089247 | -1 | statunitense | 1959 |  | M | M
William Goldman | Goldman, William | 2095709 | XX | statunitense | 1931 |  | M | M
Carlo Goldoni | Goldoni, Carlo | 711248 | 1700 | italiano | 1707 | 1793 | M | M
Luca Goldoni | Goldoni, Luca | 483215 | 1900 | italiano  | 1928 |  | M | M
Robert Goldsborough | Goldsborough, Robert | 1161930 | 1900 | statunitense | 1937 |  | M | M
Oliver Goldsmith | Goldsmith, Oliver | 1307934 | 1700 | irlandese | 1730 | 1774 | M | M
Daniel Goleman | Goleman, Daniel | 469623 | XX | statunitense | 1946 |  | M | M
Camillo Golgi | Golgi, Camillo | 104242 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
anne Golon | Golon, anne | 2175921 | 1900 | francese | 1921 | 2017 | F | F
ernst Gombrich | Gombrich, ernst | 241507 | -1 | austriaco | 1909 | 2001 | M | M
Witold Gombrowicz | Gombrowicz, Witold | 235375 | -1 | polacco | 1904 | 1969 | M | M
Juan Gomez-Jurado | Gomez-Jurado, Juan | 6998257 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Peter Gomez | Gomez, Peter | 389252 | 1900 | statunitense | 1963 |  | M | M
David Goodis | Goodis, David | 1246583 | 1900 | statunitense | 1917 | 1967 | M | M
Terry Goodkind | Goodkind, Terry | 219933 | 2000 | statunitense | 1948 |  | M | M
Martin Goodman | Goodman, Martin | 1612071 | 1900 | statunitense | 1908 | 1992 | M | M
Jason Goodwin | Goodwin, Jason | 2548754 | 2000 | britannico | 1964 |  | M | M
jack Goody | Goody, jack | 1215828 | -1 | britannico | 1919 | 2015 | M | M
Michail Gorbaciov | Gorbaciov, Michail | 55354 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Mikhail Gorbaciov | Gorbaciov, Mikhail | 112489 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Nadine Gordimer | Gordimer, Nadine | 702814 | -1 | sudafricana | 1923 | 2014 | F | F
Donald Gordon | Gordon, Donald | 112089 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Lucy Gordon | Gordon, Lucy | 2384675 | 2000 | inglese | 1980 | 2009 | F | F
noah Gordon | Gordon, noah | 1239366 | 1900 | statunitense | 1926 |  | M | M
Rex Gordon | Gordon, Rex | 327233 | 1900 | britannico | 1917 | 1998 | M | M
Richard Gordon | Gordon, Richard | 4249702 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Leonardo Gori | Gori, Leonardo | 648563 | 2000 | italiano | 1957 |  | M | M
Pietro Gori | Gori, Pietro | 88759 | 1800 | italiano | 1865 | 1911 | M | M
Maksim Gorkij | Gorkij, Maksim | 2140563 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Massimo Gorki | Gorki, Massimo | 2235546 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Claudio Gorlier | Gorlier, Claudio | 6343228 | 1900 | italiano | 1926 | 2017 | M | M
fernanda Gosetti | Gosetti, fernanda | 6543774 | 1900 | italiana | 1914 | 1999 | F | F
Salvator Gotta | Gotta, Salvator | 1471122 | 1900 | italiano | 1887 | 1980 | M | M
Jeremias Gotthelf | Gotthelf, Jeremias | 3028396 | 1800 | svizzero | 1797 | 1854 | M | M
Ron Goulart | Goulart, Ron | 556768 | 1900 | statunitense | 1933 |  | M | M
Glenn Gould | Gould, Glenn | 39575 | 1900 | canadese | 1932 | 1982 | M | M
Heywood Gould | Gould, Heywood | 2456355 | -1 | statunitense | 1942 |  | M | M
Giancarlo Governi | Governi, Giancarlo | 2644362 | 1900 | italiano | 1939 |  | M | M
Govinda | Govinda | 5640572 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
guido Gozzano | Gozzano, guido | 279367 | 1900 | italiano | 1883 | 1916 | M | M
Guido Gozzano | Gozzano, Guido | 279367 | 1900 | italiano | 1883 | 1916 | M | M
carlo Gozzi | Gozzi, carlo | 6906303 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Gasparo Gozzi | Gozzi, Gasparo | 456659 | 1700 | italiano | 1713 | 1786 | M | M
james Grady | Grady, james | 1531212 | 1900 | statunitense | 1949 |  | M | M
Arturo Graf | Graf, Arturo | 652869 | 1800 | italiano | 1848 | 1913 | M | M
Sue Grafton | Grafton, Sue | 1265628 | 1900 | statunitense | 1940 | 2017 | F | F
Kenneth Grahame | Grahame, Kenneth | 1516517 | 1800 | britannico | 1859 | 1932 | M | M
Heather Graham | Graham, Heather | 324949 | -1 | statunitense | 1970 |  | F | F
Patrick Graham | Graham, Patrick | 2166219 | 2000 | francese | 1968 |  | M | M
Winston Graham | Graham, Winston | 6265838 | 1900 | inglese | 1908 | 2003 | M | M
Mariella Gramaglia | Gramaglia, Mariella | 5633886 | 1900 | italiana | 1949 | 2014 | F | F
Massimo Gramellini | Gramellini, Massimo | 1353044 | 1900 | italiano | 1960 |  | M | M
Antonio Gramsci | Gramsci, Antonio | 101624 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Alberto Granado | Granado, Alberto | 356510 | -1 | argentino | 1922 | 2011 | M | M
Gianni Grana | Grana, Gianni | 1738597 | 1900 | italiano | 1924 | 2001 | M | M
Luigi Grande | Grande, Luigi | 1610396 | 1900 | italiano | 1921 | 1995 | M | M
Almudena Grandes | Grandes, Almudena | 1227872 | -1 | spagnola | 1960 |  | F | F
Temple Grandin | Grandin, Temple | 480088 | -1 | statunitense | 1947 |  | F | F
Charles Grant | Grant, Charles | 1235474 | 1900 | statunitense | 1942 | 2006 | M | M
edward Grant | Grant, edward | 6870949 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Gianni Granzotto | Granzotto, Gianni | 1831657 | 1900 | italiano | 1914 | 1985 | M | M
Aldo Grasso | Grasso, Aldo | 679337 | 1900 | italiano | 1948 |  | M | M
Francesco Grasso | Grasso, Francesco | 1939743 | 1900 | italiano | 1966 |  | M | M
tano Grasso | Grasso, tano | 4809086 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Nicola Gratteri | Gratteri, Nicola | 1687198 | 1900 | italiano | 1958 |  | M | M
Robert Graves | Graves, Robert | 445270 | 1800 | britannico | 1895 | 1985 | M | M
Claudia Gray | Gray, Claudia | 6041001 | -1 | statunitense | 1970 |  | F | F
John Gray | Gray, John | 2037123 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Martin Gray | Gray, Martin | 1686533 | 1900 | polacco | 1922 | 2016 | M | M
Francesco Graziani | Graziani, Francesco | 70283 | -1 | italiano | 1952 |  | M | M
Andrea Graziosi | Graziosi, Andrea | 3944953 | 1900 | italiano | 1954 |  | M | M
Pietro Greco | Greco, Pietro | 2897477 | 1900 | italiano | 1955 |  | M | M
andrew Green | Green, andrew | 6304721 | 1900 | britannico | 1965 |  | M | M
Anna Green | Green, Anna | 6058131 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Martin Greenberg | Greenberg, Martin | 5894231 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Graham Greene | Greene, Graham | 1890426 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Emma Green | Green, Emma | 2534453 | -1 | svedese | 1984 |  | F | F
Robert Greene | Greene, Robert | 1907893 | 1500 | britannico | 1558 | 1592 | M | M
george Green | Green, george | 1710893 | 1800 | inglese | 1793 | 1841 | M | M
John Green | Green, John | 1940325 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
julien Green | Green, julien | 136728 | 1900 | statunitense | 1900 | 1998 | M | M
Julien Green | Green, Julien | 136728 | 1900 | statunitense | 1900 | 1998 | M | M
Ed Greenwood | Greenwood, Ed | 344234 | XX | canadese | 1959 |  | M | M
Germaine Greer | Greer, Germaine | 339081 | -1 | australiana | 1939 |  | F | F
Ezio Greggio | Greggio, Ezio | 348418 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Simonetta Greggio | Greggio, Simonetta | 6776291 | 2000 | italiana | 1961 |  | F | F
di Gregorio | Gregorio, di | 4830569 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Michael Gregorio | Gregorio, Michael | 2045395 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Ferdinand Gregorovius | Gregorovius, Ferdinand | 222321 | 1800 | tedesco | 1821 | 1891 | M | M
Philippa Gregory | Gregory, Philippa | 1757257 | 2000 | britannica | 1954 |  | F | F
Tullio Gregory | Gregory, Tullio | 864588 | 1900 | italiano | 1929 |  | M | M
Kate Grenville | Grenville, Kate | 6650949 | 1900 | australiana | 1950 |  | F | F
Alain Gresh | Gresh, Alain | 2672609 | 1900 | francese | 1948 |  | M | M
Zane Grey | Grey, Zane | 1965376 | 1800 | statunitense | 1872 | 1939 | M | M
David Grieco | Grieco, David | 5522040 | 1900 | italiano | 1951 |  | M | M
Nicola Griffith | Griffith, Nicola | 6701466 | 1900 | britannica | 1960 |  | F | F
Massimo Grillandi | Grillandi, Massimo | 4045980 | 1900 | italiano | 1921 | 1987 | M | M
Franco Grillini | Grillini, Franco | 234514 | 1900 | italiano | 1955 |  | M | M
Beppe Grillo | Grillo, Beppe | 79653 | 1900 | italiano | 1948 |  | M | M
Carlo Grimaldi | Grimaldi, Carlo | 6817957 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Laura Grimaldi | Grimaldi, Laura | 3490410 | 1900 | italiana | 1928 | 2012 | F | F
pierre Grimal | Grimal, pierre | 2458814 | 1900 | francese | 1912 | 1996 | M | M
Martha Grimes | Grimes, Martha | 578021 | 1900 | statunitense | 1931 |  | F | F
Jacob Grimm | Grimm, Jacob | 435718 | 1800 | tedesco | 1785 | 1863 | M | M
Lester Grinspoon | Grinspoon, Lester | 607368 | -1 | statunitense | 1928 |  | M | M
Maria Gripe | Gripe, Maria | 5603311 | -1 | svedese | 1923 | 2007 | F | F
John Grisham | Grisham, John | 200603 | 1900 | statunitense | 1955 |  | M | M
Georg Groddeck | Groddeck, Georg | 796420 | 1800 | tedesco | 1866 | 1934 | M | M
John Grogan | Grogan, John | 1212381 | 1900 | statunitense | 1957 |  | M | M
winston Groom | Groom, winston | 1907258 | 1900 | statunitense | 1943 |  | M | M
Andrew Gross | Gross, Andrew | 2472538 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Tommaso Grossi | Grossi, Tommaso | 103982 | 1800 | italiano | 1790 | 1853 | M | M
David Grossman | Grossman, David | 715309 | -1 | israeliano | 1954 |  | M | M
lev Grossman | Grossman, lev | 5854298 | 1900 | statunitense | 1969 |  | M | M
Vasilij Grossman | Grossman, Vasilij | 402939 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Lilli Gruber | Gruber, Lilli | 98190 | 1900 | italiana | 1957 |  | F | F
Sara Gruen | Gruen, Sara | 3448751 | 2000 | canadese |  |  | F | F
Paolo Grugni | Grugni, Paolo | 6231752 | -1 | italiano | 1985 |  | M | M
Anselm Grun | Grun, Anselm | 3467519 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Antonio Guadagnoli | Guadagnoli, Antonio | 2142151 | 1800 | italiano | 1798 | 1858 | M | M
Vincenzo Guagliardo | Guagliardo, Vincenzo | 1893231 | 1900 | italiano | 1948 |  | M | M
Luigi Gualdo | Gualdo, Luigi | 2005031 | 1800 | italiano | 1844 | 1898 | M | M
Giovannino Guareschi | Guareschi, Giovannino | 19213 | 1900 | italiano | 1908 | 1968 | M | M
Icilio Guareschi | Guareschi, Icilio | 1595890 | 1800 | italiano | 1847 | 1918 | M | M
Battista Guarini | Guarini, Battista | 1216086 | 1500 | italiano | 1538 | 1612 | M | M
Mario Guarino | Guarino, Mario | 3386434 | 1900 | italiano | 1945 |  | M | M
Matteo Guarnaccia | Guarnaccia, Matteo | 1259439 | 1900 | italiano | 1954 |  | M | M
Emilio Guarnaschelli | Guarnaschelli, Emilio | 1868803 | 1900 | italiano | 1911 | 1938 | M | M
Carlo Gubitosa | Gubitosa, Carlo | 1285998 | 2000 | italiano | 1971 |  | M | M
Emiliano Gucci | Gucci, Emiliano | 1907770 | 2000 | italiano | 1975 |  | M | M
Guccini | Guccini | 3595304 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Francesco Guccini | Guccini, Francesco | 9529 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Denis Guedj | Guedj, Denis | 16433 | 1900 | francese | 1940 | 2010 | M | M
Tonino Guerra | Guerra, Tonino | 2352606 | 1900 | italiano | 1920 | 2012 | M | M
Francesco Guerrazzi | Guerrazzi, Francesco | 4073327 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Olindo Guerrini | Guerrini, Olindo | 245574 | 1800 | italiano | 1845 | 1916 | M | M
Judith Guest | Guest, Judith | 6741555 | 1900 | statunitense | 1936 |  | F | F
Ernesto Guevara | Guevara, Ernesto | 15383 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Luigi Guicciardi | Guicciardi, Luigi | 1505844 | 1900 | italiano | 1953 |  | M | M
Francesco Guicciardini | Guicciardini, Francesco | 746138 | 1500 | italiano | 1483 | 1540 | M | M
Giovanni Guidiccioni | Guidiccioni, Giovanni | 921347 | 1500 | italiano | 1500 | 1541 | M | M
Giulio Guidorizzi | Guidorizzi, Giulio | 3916591 | -1 | italiano | 1948 |  | M | M
Nicholas Guild | Guild, Nicholas | 5170782 | 1900 | statunitense | 1948 |  | M | M
Guido Guinizelli | Guinizelli, Guido | 713421 | 1200 | italiano | 1235 | 1276 | M | M
jean Guitton | Guitton, jean | 280232 | 1900 | francese | 1901 | 1999 | M | M
Paolo Gulisano | Gulisano, Paolo | 1859342 | 2000 | italiano | 1959 |  | M | M
Francesco Gungui | Gungui, Francesco | 5034379 | 2000 | italiano | 1980 |  | M | M
James Gunn | Gunn, James | 3407268 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Stephen Gunn | Gunn, Stephen | 640726 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Batya Gur | Gur, Batya | 5743586 | -1 | israeliana | 1947 | 2005 | F | F
Georges Gurdjieff | Gurdjieff, Georges | 765916 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Lars Gustafsson | Gustafsson, Lars | 3737077 | -1 | svedese | 1936 | 2016 | M | M
David Guterson | Guterson, David | 3538957 | XX | statunitense | 1956 |  | M | M
Woody Guthrie | Guthrie, Woody | 390747 | 1900 | statunitense | 1912 | 1967 | M | M
Gustavo Gutierrez | Gutierrez, Gustavo | 3406918 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
corrado Guzzanti | Guzzanti, corrado | 44159 | -1 | italiano | 1965 |  | M | M
Paolo Guzzanti | Guzzanti, Paolo | 596402 | 1900 | italiano | 1940 |  | M | M
Tenzin Gyatso | Gyatso, Tenzin | 101103 | 1900 | tibetano | 1935 |  | M | M
tenzin Gyatso | Gyatso, tenzin | 101103 | 1900 | tibetano | 1935 |  | M | M
Gary Gygax | Gygax, Gary | 69319 | 1900 | statunitense | 1938 | 2008 | M | M
Hella Haasse | Haasse, Hella | 1795834 | -1 | olandese | 1918 | 2011 | F | F
Margherita Hack | Hack, Margherita | 100284 | 1900 | italiana | 1922 | 2013 | F | F
Jacques Hadamard | Hadamard, Jacques | 405636 | 1800 | francese | 1865 | 1963 | M | M
Pierre Hadot | Hadot, Pierre | 541356 | 1900 | francese | 1922 | 2010 | M | M
Gisbert Haefs | Haefs, Gisbert | 754072 | 2000 | tedesco | 1950 |  | M | M
Katharina Hagena | Hagena, Katharina | 6469576 | -1 | tedesca | 1967 |  | F | F
Rider Haggard | Haggard, Rider | 2057362 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
samuel Hahnemann | Hahnemann, samuel | 91998 | 1800 | tedesco | 1755 | 1843 | M | M
Matt Haig | Haig, Matt | 2331904 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Arthur Hailey | Hailey, Arthur | 1966789 | 1900 | britannico | 1920 | 2004 | M | M
Joe Haldeman | Haldeman, Joe | 769179 | -1 | statunitense | 1943 |  | M | M
Alex Haley | Haley, Alex | 506060 | 1900 | statunitense | 1921 | 1992 | M | M
Brett Halliday | Halliday, Brett | 1290129 | 1900 | statunitense | 1904 | 1977 | M | M
James Hall | Hall, James | 3580015 | 1800 | statunitense | 1811 | 1898 | M | M
Paul Halter | Halter, Paul | 1290635 | 1900 | francese | 1956 |  | M | M
brigitte Hamann | Hamann, brigitte | 592329 | 1900 | tedesca | 1940 | 2016 | F | F
Barbara Hambly | Hambly, Barbara | 756788 | 1900 | statunitense | 1951 |  | F | F
Edmond Hamilton | Hamilton, Edmond | 135005 | -1 | statunitense | 1904 | 1977 | M | M
Hamilton | Hamilton | 130269 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Petra Hammesfahr | Hammesfahr, Petra | 7014474 | 1900 | tedesca | 1951 |  | F | F
Dashiell Hammett | Hammett, Dashiell | 68139 | 1900 | statunitense | 1894 | 1961 | M | M
Knut Hamsun | Hamsun, Knut | 773653 | -1 | norvegese | 1859 | 1952 | M | M
Peter Handke | Handke, Peter | 575765 | 1900 | austriaco | 1942 |  | M | M
Chelsea Handler | Handler, Chelsea | 3639819 | 1900 | statunitense | 1975 |  | F | F
Erik Hansen | Hansen, Erik | 6782066 | -1 | danese | 1939 | 2014 | M | M
Thorkild Hansen | Hansen, Thorkild | 1496836 | 1900 | danese | 1927 | 1989 | M | M
John Harding | Harding, John | 3137713 | 1900 | britannico | 1896 | 1989 | M | M
Paul Harding | Harding, Paul | 621626 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Thomas Hardy | Hardy, Thomas | 200006 | 1800 | britannico | 1840 | 1928 | M | M
Tim Harford | Harford, Tim | 4516339 | 2000 | britannico | 1973 |  | M | M
Daoud Hari | Hari, Daoud | 1761773 | 1900 | sudanese |  |  | M | M
Nick Harkaway | Harkaway, Nick | 3991467 | 1900 | britannico | 1972 |  | M | M
Tom Harper | Harper, Tom | 4306493 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Heinrich Harrer | Harrer, Heinrich | 292952 | -1 | austriaco | 1912 | 2006 | M | M
Charlaine Harris | Harris, Charlaine | 2365535 | 1900 | statunitense | 1951 |  | F | F
Joanne Harris | Harris, Joanne | 689351 | 2000 | britannica | 1964 |  | F | F
Marvin Harris | Harris, Marvin | 762702 | -1 | statunitense | 1927 | 2001 | M | M
Harry Harrison | Harrison, Harry | 787640 | -1 | statunitense | 1925 | 2012 | M | M
Robert Harris | Harris, Robert | 561986 | 1900 | inglese | 1957 |  | M | M
Steve Harris | Harris, Steve | 127255 | -1 | inglese | 1956 |  | M | M
Thomas Harris | Harris, Thomas | 213090 | 1900 | statunitense | 1940 |  | M | M
Jessica Hart | Hart, Jessica | 4672358 | -1 | australiana | 1986 |  | F | F
John Hart | Hart, John | 1912300 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Josephine Hart | Hart, Josephine | 1729213 | 1900 | irlandese | 1942 | 2011 | F | F
Peter Hartling | Hartling, Peter | 6960840 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Franz Hartmann | Hartmann, Franz | 6913783 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
John Harvey | Harvey, John | 1894786 | 1900 | inglese | 1938 |  | M | M
Michael Harvey | Harvey, Michael | 4155975 | -1 | britannico | 1989 |  | M | M
Sven Hassel | Hassel, Sven | 409917 | 1900 | danese | 1917 | 2012 | M | M
Max Hastings | Hastings, Max | 5436807 | -1 | britannico | 1945 |  | M | M
Wilhelm Hauff | Hauff, Wilhelm | 3041406 | 1800 | tedesco | 1802 | 1827 | M | M
gaby Hauptmann | Hauptmann, gaby | 4203262 | 1900 | tedesca | 1957 |  | F | F
Thomas Hauser | Hauser, Thomas | 2995061 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Marlen Haushofer | Haushofer, Marlen | 6036641 | -1 | austriaca | 1920 | 1970 | F | F
John Hawkes | Hawkes, John | 800005 | 1900 | statunitense | 1959 |  | M | M
Stephen Hawking | Hawking, Stephen | 302566 | 1900 | britannico | 1942 | 2018 | M | M
Noah Hawley | Hawley, Noah | 5613554 | -1 | statunitense | 1967 |  | M | M
Nathaniel Hawthorne | Hawthorne, Nathaniel | 15229 | 1800 | statunitense | 1804 | 1864 | M | M
Torey Hayden | Hayden, Torey | 2264458 | 1900 | statunitense | 1951 |  | F | F
Mo Hayder | Hayder, Mo | 116080 | 2000 | britannica | 1962 |  | F | F
Billy Hayes | Hayes, Billy | 1233921 | 1900 | statunitense | 1947 |  | M | M
George Hay | Hay, George | 6822447 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Louise Hay | Hay, Louise | 1857817 | 1900 | statunitense |  1926 | 2017  | F | F
William Haywood | Haywood, William | 2242360 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Constance Heaven | Heaven, Constance | 4261312 | 1900 | inglese | 1911 | 1995 | F | F
Chris Hedges | Hedges, Chris | 2982844 | 1900 | statunitense | 1956 |  | M | M
Georg Hegel | Hegel, Georg | 58495 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Martin Heidegger | Heidegger, Martin | 37923 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Scott Heim | Heim, Scott | 2263914 | XXI | statunitense | 1966 |  | M | M
Christoph Hein | Hein, Christoph | 2124664 | 1900 | tedesco | 1944 |  | M | M
Veit Heinichen | Heinichen, Veit | 335612 | 2000 | tedesco | 1957 |  | M | M
Robert Heinlein | Heinlein, Robert | 91730 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Markus Heitz | Heitz, Markus | 602822 | 1900 | tedesco | 1971 |  | M | M
joseph Heller | Heller, joseph | 316399 | 1900 | statunitense | 1923 | 1999 | M | M
Lillian Hellman | Hellman, Lillian | 565455 | 1900 | statunitense | 1905 | 1984 | F | F
Alessandro Hellmann | Hellmann, Alessandro | 1547530 | 1900 | italiano | 1971 |  | M | M
Hemingway | Hemingway | 272640 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Ernest Hemingway | Hemingway, Ernest | 53339 | 1900 | statunitense | 1899 | 1961 | M | M
Brian Herbert | Herbert, Brian | 788180 | -1 | statunitense | 1947 |  | M | M
Frank Herbert | Herbert, Frank | 25811 | -1 | statunitense | 1920 | 1986 | M | M
James Herbert | Herbert, James | 44993 | 1900 | britannico | 1943 | 2013 | M | M
Ferenc Herczeg | Herczeg, Ferenc | 3046136 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
gustaw Herling | Herling, gustaw | 1226208 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Gerhard Herm | Herm, Gerhard | 3220222 | 1900 | tedesco | 1931 |  | M | M
Stephan Hermlin | Hermlin, Stephan | 3051416 | 1900 | tedesco | 1915 | 1997 | M | M
felisberto Hernandez | Hernandez, felisberto | 3941060 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
franz Herre | Herre, franz | 5198476 | -1 | tedesco | 1926 |  | M | M
Franz Herre | Herre, Franz | 5198476 | -1 | tedesco | 1926 |  | M | M
Eugen Herrigel | Herrigel, Eugen | 6605350 | XIX | tedesco | 1884 | 1955 | M | M
James Herriot | Herriot, James | 67313 | 1900 | britannico | 1916 | 1995 | M | M
John Hersey | Hersey, John | 3371221 | 1900 | statunitense | 1914 | 1993 | M | M
Aleksandr Herzen | Herzen, Aleksandr | 3781414 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
hermann Hesse | Hesse, hermann | 2022021 | 1900 | tedesco | 1877 | 1962 | M | M
Hesse | Hesse | 1185831 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Franz Hessel | Hessel, Franz | 3491025 | 1800 | tedesco | 1880 | 1941 | M | M
Georgette Heyer | Heyer, Georgette | 765273 | 1900 | inglese | 1902 | 1974 | F | F
Carl Hiaasen | Hiaasen, Carl | 2319963 | XX | statunitense | 1953 |  | M | M
Jack Higgins | Higgins, Jack | 1938298 | 1900 | britannico | 1929 |  | M | M
Nazim Hikmet | Hikmet, Nazim | 2254585 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Wolfgang Hildesheimer | Hildesheimer, Wolfgang | 2596605 | 1900 | tedesco | 1916 | 1991 | M | M
tony Hillerman | Hillerman, tony | 209990 | 1900 | statunitense | 1925 | 2008 | M | M
Etty Hillesum | Hillesum, Etty | 687167 | 1900 | olandese | 1914 | 1943 | F | F
Joe Hill | Hill, Joe | 1710075 | -1 | statunitense | 1879 | 1915 | M | M
James Hillman | Hillman, James | 129212 | XX | statunitense | 1926 | 2011 | M | M
Melissa Hill | Hill, Melissa | 4741915 | -1 |  | 1970 |  | F | F
