Nome e Cognome | Cognome, Nome (originale) | Wiki Page_id | Epoca | Nazionalità
Christiaan Barnard | Barnard, Christiaan | 64014 | 1900 | sudafricano | 1922 | 2001 | M | M
Renato Barneschi | Barneschi, Renato | 2625896 | 1900 | italiano | 1928 | 1987 | M | M
Djuna Barnes | Barnes, Djuna | 1884506 | 1900 | statunitense | 1892 | 1982 | F | F
John Barnes | Barnes, John | 807430 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Julian Barnes | Barnes, Julian | 104199 | 1900 | britannico | 1946 |  | M | M
Lee Barnes | Barnes, Lee | 3748629 | -1 | statunitense | 1906 | 1970 | M | M
Miguel Barnet | Barnet, Miguel | 3958810 | -1 | cubano | 1940 |  | M | M
Giulio Barni | Barni, Giulio | 4764289 | 1900 | italiano | 1886 | 1915 | M | M
Pio Baroja | Baroja, Pio | 1838371 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giuseppe Barone | Barone, Giuseppe | 2090002 | 1900 | italiano | 1947 |  | M | M
Mario Baroni | Baroni, Mario | 2838630 | -1 | italiano | 1927 | 1994 | M | M
Geoffrey Barraclough | Barraclough, Geoffrey | 2058442 | 1900 | britannico | 1908 | 1984 | M | M
Audie Barr | Barr, Audie | 478382 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Nicolas Barreau | Barreau, Nicolas | 4296746 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
James Barrie | Barrie, James | 569333 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
John Barrow | Barrow, John | 1419711 | 1700 | inglese | 1764 | 1848 | M | M
Peter Barsocchini | Barsocchini, Peter | 2723573 | 1900 | statunitense | 1952 |  | M | M
Divo Barsotti | Barsotti, Divo | 2323350 | 1900 | italiano | 1914 | 2006 | M | M
Stefano Bartezzaghi | Bartezzaghi, Stefano | 785047 | 1900 | italiano | 1962 |  | M | M
Roland Barthes | Barthes, Roland | 59190 | -1 | francese | 1915 | 1980 | M | M
John Barth | Barth, John | 2939069 | 1900 | statunitense | 1930 |  | M | M
Sandro Bartoccioni | Bartoccioni, Sandro | 2900056 | -1 | italiano | 1947 | 2006 | M | M
Elio Bartolini | Bartolini, Elio | 1839935 | 1900 | italiano | 1922 | 2006 | M | M
Luigi Bartolini | Bartolini, Luigi | 202480 | 1900 | italiano | 1892 | 1963 | M | M
Ilda Bartoloni | Bartoloni, Ilda | 2346846 | 1900 | italiana | 1946 | 2009 | F | F
Luigi Barzini | Barzini, Luigi | 97947 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Franco Basaglia | Basaglia, Franco | 375443 | -1 | italiano | 1924 | 1980 | M | M
Domenico Basile | Basile, Domenico | 4530066 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Giambattista Basile | Basile, Giambattista | 206224 | 1600 | italiano | 1566 | 1632 | M | M
Giorgio Bassani | Bassani, Giorgio | 11431 | 1900 | italiano | 1916 | 2000 | M | M
Bassani | Bassani | 660292 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Remo Bassetti | Bassetti, Remo | 3842324 | 1900 | italiano | 1961 |  | M | M
alberto Basso | Basso, alberto | 1155832 | 1900 | italiano | 1931 |  | M | M
Ronald Bass | Bass, Ronald | 1588588 | 1900 | statunitense | 1942 |  | M | M
Giannotto Bastianelli | Bastianelli, Giannotto | 6297694 | -1 | italiano | 1883 | 1927 | M | M
Frederic Bastiat | Bastiat, Frederic | 4165438 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Georges Bataille | Bataille, Georges | 522737 | 1900 | francese | 1897 | 1962 | M | M
Gregory Bateson | Bateson, Gregory | 118037 | -1 | britannico | 1904 | 1980 | M | M
Roberto Battaglia | Battaglia, Roberto | 1727316 | 1900 | italiano | 1913 | 1963 | M | M
Romano Battaglia | Battaglia, Romano | 1240680 | 1900 | italiano | 1933 | 2012 | M | M
Pierluigi Battista | Battista, Pierluigi | 487139 | 1900 | italiano | 1955 |  | M | M
Lucio Battisti | Battisti, Lucio | 87191 | 1900 | italiano | 1943 | 1998 | M | M
Jean-Dominique Bauby | Bauby, Jean-Dominique | 1519951 | 1900 | francese | 1952 | 1997 | M | M
Henry Bauchau | Bauchau, Henry | 4204869 | -1 | belga | 1913 | 2012 | M | M
Charles Baudelaire | Baudelaire, Charles | 727298 | 1800 | francese | 1821 | 1867 | M | M
Jean Baudrillard | Baudrillard, Jean | 549348 | 1900 | francese | 1929 | 2007 | M | M
Michael Bauer | Bauer, Michael | 3251326 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Zygmunt Bauman | Bauman, Zygmunt | 468235 | 1900 | polacco | 1925 | 2017 | M | M
Frank Baum | Baum, Frank | 231630 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Robert Bauval | Bauval, Robert | 1112539 | -1 | britannico | 1948 |  | M | M
Nina Bawden | Bawden, Nina | 4303762 | 1900 | inglese | 1925 | 2012 | F | F
Osvaldo Bayer | Bayer, Osvaldo | 5570833 | 1900 | argentino | 1927 |  | M | M
William Bayer | Bayer, William | 1109247 | 1900 | statunitense | 1939 |  | M | M
Ambrogio Bazzero | Bazzero, Ambrogio | 4050178 | 1800 | italiano | 1851 | 1882 | M | M
Ishmael Beah | Beah, Ishmael | 1208607 | 2000 | sierraleonese | 1980 |  | M | M
Greg Bear | Bear, Greg | 93671 | -1 | statunitense | 1951 |  | M | M
Beatles | Beatles | 622 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
Sally Beauman | Beauman, Sally | 2175441 | 1900 | britannica | 1944 | 2016 | F | F
Jim Beaver | Beaver, Jim | 3031784 | -1 | statunitense | 1950 |  | M | M
Carrie Bebris | Bebris, Carrie | 1535787 | 2000 | statunitense |  |  | F | F
Antonella Beccaria | Beccaria, Antonella | 4455158 | 1900 | italiana | 1973 |  | F | F
Cesare Beccaria | Beccaria, Cesare | 18642 | 1700 | italiano | 1738 | 1794 | M | M
Odoardo Beccari | Beccari, Odoardo | 217746 | -1 | italiano | 1843 | 1920 | M | M
Lorenzo Beccati | Beccati, Lorenzo | 2221472 | 1900 | italiano | 1956 |  | M | M
Angela Becerra | Becerra, Angela | 2627306 | -1 | Non pervenuta | -1 | -1 | non trovato | non trovato
