Francesco De Sanctis | De Sanctis, Francesco  | 152802 | 1800 | italiano | 1817 | 1883 | M | M|scrittore|critico letterario
Salvatore Di Giacomo | Di Giacomo, Salvatore  | 2296710 | 1900 | italiano | 1860 | 1934 | M | M|poeta|drammaturgo
Alessio Di Giovanni | Di Giovanni, Alessio  | 489332 | 1800 | italiano | 1872 | 1946 | M | M|poeta|drammaturgo
Giovanni Battista Donati | Donati, Giovanni Battista  | 23692 | 1800 | italiano | 1826 | 1873 | M | M|matematico|astronomo
Federico Donaver | Donaver, Federico  | 1984669 | 1800 | italiano | 1861 | 1915 | M | M|storico|educatore
Gaetano Donizetti | Donizetti, Gaetano  | 2052 | 1800 | italiano | 1797 | 1848 | M | M|compositore|non trovata
Paola Drigo | Drigo, Paola  | 483106 | 1900 | italiana | 1876 | 1938 | F | F|scrittrice|non trovata
Pericle Ducati | Ducati, Pericle  | 489099 | 1900 | italiano | 1880 | 1944 | M | M|archeologo|non trovata
Augusto Elia | Elia, Augusto  | 705815 | 1800 | italiano | 1829 | 1919 | M | M|patriota|militare
Pio Emanuelli | Emanuelli, Pio  | 2577577 | 1900 | italiano | 1888 | 1946 | M | M|astronomo|storico
Federigo Enriques | Enriques, Federigo  | 23698 | 1900 | italiano | 1871 | 1946 | M | M|matematico|storico della scienza
Luigi Fabbri | Fabbri, Luigi  | 1873492 | 1900 | italiano | 1877 | 1935 | M | M|anarchico|saggista
Giovanni Faldella | Faldella, Giovanni  | 2005039 | 1800 | italiano | 1846 | 1928 | M | M|scrittore|giornalista
Pietro Fanfani | Fanfani, Pietro  | 1430925 | 1800 | italiano | 1815 | 1879 | M | M|scrittore|filologo
Horst Fantazzini | Fantazzini, Horst  | 3065729 | 1900 | italiano | 1939 | 2001 | M | M|criminale|scrittore
Salvatore Farina | Farina, Salvatore  | 1332414 | 1800 | italiano | 1846 | 1918 | M | M|scrittore|giornalista
Antonio Favaro | Favaro, Antonio  | 23712 | 1800 | italiano | 1847 | 1922 | M | M|matematico|storico della scienza
Carlotta Ferrari | Ferrari, Carlotta  | 2693396 | 1800 | italiana | 1830 | 1907 | F | F|poetessa|compositrice
Severino Ferrari | Ferrari, Severino  | 2212340 | 1800 | italiano | 1856 | 1905 | M | M|poeta|critico letterario
Guglielmo Ferrero | Ferrero, Guglielmo  | 742361 | 1800 | italiano | 1871 | 1942 | M | M|storico|scrittore
Jacopo Ferretti | Ferretti, Jacopo  | 1328129 | 1800 | italiano | 1784 | 1852 | M | M|librettista|poeta
Dina Ferri | Ferri, Dina  | 1606226 | 1900 | italiana | 1908 | 1930 | F | F|poetessa|non trovata
Bruno Filippi | Filippi, Bruno  | 2688748 | 1900 | italiano | 1900 | 1919 | M | M|terrorista|anarchico
